customerkey;geographykey;firstname;lastname;Full_Name;yearlyincome;Gender;datefirstpurchase;city;EnglishCountryRegionName
11147;40;Ernest;Wu;Ernest Wu;60000,00;Male;2018-05-13;Warrnambool;Australia
11148;22;Ross;Vazquez;Ross Vazquez;40000,00;Male;2020-03-07;East Brisbane;Australia
11149;25;Theodore;Gill;Theodore Gill;40000,00;Male;2020-06-04;Hervey Bay;Australia
11150;39;Russell;Shen;Russell Shen;40000,00;Male;2020-03-27;Sunbury;Australia
11151;18;Melinda;Gill;Melinda Gill;60000,00;Female;2018-05-15;Sydney;Australia
11152;633;James;Williams;James Williams;40000,00;Male;2020-01-09;Puyallup;United States
11153;635;Angela;James;Angela James;40000,00;Female;2020-03-29;Renton;United States
11154;553;Megan;Walker;Megan Walker;40000,00;Female;2020-01-10;Woodburn;United States
11155;301;Hunter;Robinson;Hunter Robinson;40000,00;Male;2020-01-06;Burbank;United States
11156;334;Maria;Roberts;Maria Roberts;40000,00;Female;2020-01-08;Lakewood;United States
11157;642;Hannah;Long;Hannah Long;40000,00;Female;2020-07-24;Tacoma;United States
11158;361;Jason;Wright;Jason Wright;40000,00;Male;2020-01-19;San Gabriel;United States
11159;385;Brianna;Hughes;Brianna Hughes;40000,00;Female;2020-09-08;Woodland Hills;United States
11160;311;Maurice;Tang;Maurice Tang;40000,00;Male;2020-02-21;Concord;United States
11161;311;Emily;Wood;Emily Wood;40000,00;Female;2020-06-01;Concord;United States
11162;331;Chase;Cox;Chase Cox;40000,00;Male;2020-02-18;La Jolla;United States
11163;372;Gabriel;Wang;Gabriel Wang;40000,00;Male;2020-05-01;Spring Valley;United States
11164;374;Devin;Brooks;Devin Brooks;40000,00;Male;2020-04-27;Torrance;United States
11165;348;Jocelyn;Alexander;Jocelyn Alexander;60000,00;Female;2020-05-25;Oakland;United States
11166;631;Ashley;Martinez;Ashley Martinez;70000,00;Female;2020-10-14;Olympia;United States
11167;618;Jasmine;Barnes;Jasmine Barnes;80000,00;Female;2020-01-07;Issaquah;United States
11168;348;David;Rodriguez;David Rodriguez;80000,00;Male;2020-01-15;Oakland;United States
11169;312;Bryce;Richardson;Bryce Richardson;90000,00;Male;2020-05-26;Coronado;United States
11170;612;Carol;Howard;Carol Howard;90000,00;Female;2020-08-26;Burien;United States
11171;385;Jonathan;Hill;Jonathan Hill;100000,00;Male;2018-08-20;Woodland Hills;United States
11172;626;Gabrielle;Adams;Gabrielle Adams;100000,00;Female;2020-05-03;Lynnwood;United States
11173;552;Sarah;Thomas;Sarah Thomas;110000,00;Female;2020-03-02;W. Linn;United States
11174;338;Nicholas;Robinson;Nicholas Robinson;110000,00;Male;2020-07-13;Los Angeles;United States
11175;300;Luis;Wang;Luis Wang;70000,00;Male;2018-08-28;Beverly Hills;United States
11176;50;Mason;Roberts;Mason Roberts;90000,00;Male;2020-02-02;Haney;Canada
11177;359;Jose;Flores;Jose Flores;110000,00;Male;2020-03-29;San Diego;United States
11178;334;Nathan;Johnson;Nathan Johnson;100000,00;Male;2020-02-21;Lakewood;United States
11179;300;Molly;Rodriguez;Molly Rodriguez;120000,00;Female;2020-03-12;Beverly Hills;United States
11180;307;April;Anand;April Anand;160000,00;Female;2020-03-17;Chula Vista;United States
11181;338;Devin;Martin;Devin Martin;170000,00;Male;2020-05-07;Los Angeles;United States
11182;638;Stephanie;Torres;Stephanie Torres;70000,00;Female;2020-08-28;Sedro Woolley;United States
11183;368;Jasmine;Lee;Jasmine Lee;70000,00;Female;2020-04-30;Santa Cruz;United States
11184;311;Meghan;Hernandez;Meghan Hernandez;70000,00;Female;2020-08-10;Concord;United States
11185;53;Ashley;Henderson;Ashley Henderson;70000,00;Female;2020-02-21;Metchosin;Canada
11186;352;Sarah;Price;Sarah Price;70000,00;Female;2020-10-18;Palo Alto;United States
11187;612;Jennifer;Cooper;Jennifer Cooper;60000,00;Female;2020-04-03;Burien;United States
11188;361;Catherine;Morris;Catherine Morris;60000,00;Female;2020-11-01;San Gabriel;United States
11189;609;Lawrence;Blanco;Lawrence Blanco;60000,00;Male;2018-08-26;Bellingham;United States
11190;300;Carson;Bryant;Carson Bryant;70000,00;Male;2020-08-28;Beverly Hills;United States
11191;310;Kristi;Perez;Kristi Perez;70000,00;Female;2018-08-11;Colma;United States
11192;637;James;Brown;James Brown;60000,00;Male;2020-06-23;Seattle;United States
11193;553;Ian;Gray;Ian Gray;60000,00;Male;2020-02-25;Woodburn;United States
11194;352;Jacqueline;Price;Jacqueline Price;60000,00;Female;2020-03-13;Palo Alto;United States
11195;635;Megan;Henderson;Megan Henderson;60000,00;Female;2020-04-14;Renton;United States
11196;536;Alfredo;Romero;Alfredo Romero;60000,00;Male;2020-03-03;Beaverton;United States
11197;637;Andrea;Morris;Andrea Morris;70000,00;Female;2020-05-02;Seattle;United States
11198;368;Brooke;Sanders;Brooke Sanders;70000,00;Female;2020-02-05;Santa Cruz;United States
11199;302;Jacqueline;Bennett;Jacqueline Bennett;70000,00;Female;2020-03-18;Burlingame;United States
11200;69;Jason;Griffin;Jason Griffin;70000,00;Male;2020-02-07;Victoria;Canada
11201;369;Amanda;Foster;Amanda Foster;70000,00;Female;2020-07-01;Santa Monica;United States
11202;334;Alexia;Price;Alexia Price;80000,00;Female;2020-09-15;Lakewood;United States
11203;60;Luis;Diaz;Luis Diaz;40000,00;Male;2020-02-20;Port Hammond;Canada
11204;536;Destiny;Rivera;Destiny Rivera;40000,00;Female;2020-08-09;Beaverton;United States
11205;612;Abby;Fernandez;Abby Fernandez;40000,00;Female;2020-07-27;Burien;United States
11206;626;Blake;Flores;Blake Flores;60000,00;Male;2020-05-11;Lynnwood;United States
11207;635;Danielle;Cox;Danielle Cox;60000,00;Female;2020-01-31;Renton;United States
11208;325;Maria;Reed;Maria Reed;60000,00;Female;2020-03-04;Glendale;United States
11209;336;Allison;Evans;Allison Evans;60000,00;Female;2020-03-25;Lincoln Acres;United States
11210;383;Edward;Wood;Edward Wood;70000,00;Male;2020-05-06;West Covina;United States
11211;50;Samantha;Russell;Samantha Russell;40000,00;Female;2020-02-01;Haney;Canada
11212;53;Chloe;Campbell;Chloe Campbell;40000,00;Female;2020-01-30;Metchosin;Canada
11213;614;Stephanie;Murphy;Stephanie Murphy;60000,00;Female;2020-03-28;Edmonds;United States
11214;545;Charles;Miller;Charles Miller;60000,00;Male;2020-08-14;Milwaukie;United States
11215;62;Ana;Perry;Ana Perry;40000,00;Female;2020-02-15;Royal Oak;Canada
11216;547;Jasmine;Torres;Jasmine Torres;60000,00;Female;2018-08-15;Portland;United States
11217;547;Natalie;Adams;Natalie Adams;60000,00;Female;2018-08-10;Portland;United States
11218;642;Olivia;Brown;Olivia Brown;60000,00;Female;2020-02-28;Tacoma;United States
11219;553;Charles;Cook;Charles Cook;60000,00;Male;2020-10-29;Woodburn;United States
11220;310;Erica;Huang;Erica Huang;60000,00;Female;2020-03-14;Colma;United States
11221;334;Nathan;Perry;Nathan Perry;70000,00;Male;2020-04-07;Lakewood;United States
11222;369;Alexandra;Rivera;Alexandra Rivera;80000,00;Female;2020-11-01;Santa Monica;United States
11223;52;Hailey;Patterson;Hailey Patterson;70000,00;Female;2020-01-29;Langley;Canada
11224;612;Tiffany;Li;Tiffany Li;70000,00;Female;2018-08-07;Burien;United States
11225;635;Madison;Lee;Madison Lee;60000,00;Female;2020-06-22;Renton;United States
11226;552;Sydney;Ross;Sydney Ross;60000,00;Female;2020-02-21;W. Linn;United States
11227;310;Marshall;Chavez;Marshall Chavez;60000,00;Male;2018-08-03;Colma;United States
11228;316;Ashley;Jones;Ashley Jones;60000,00;Female;2020-10-25;El Cajon;United States
11229;355;Adrian;Stewart;Adrian Stewart;70000,00;Male;2020-07-27;Redwood City;United States
11230;369;Amber;Turner;Amber Turner;70000,00;Female;2020-07-16;Santa Monica;United States
11231;611;Dennis;Zhang;Dennis Zhang;60000,00;Male;2020-02-10;Bremerton;United States
11232;616;Hailey;Bryant;Hailey Bryant;60000,00;Female;2020-09-20;Everett;United States
11233;299;Todd;Li;Todd Li;70000,00;Male;2020-02-08;Berkeley;United States
11234;337;Anna;Griffin;Anna Griffin;70000,00;Female;2020-02-08;Long Beach;United States
11235;607;Angel;Stewart;Angel Stewart;70000,00;Male;2020-07-04;Ballard;United States
11236;609;Jeremy;Butler;Jeremy Butler;70000,00;Male;2020-10-03;Bellingham;United States
11237;161;Clarence;Anand;Clarence Anand;130000,00;Male;2018-09-05;Solingen;Germany
11238;232;Mayra;Prasad;Mayra Prasad;130000,00;Female;2018-01-06;Birmingham;United Kingdom
11239;249;Latoya;Goel;Latoya Goel;130000,00;Female;2018-01-19;London;United Kingdom
11240;273;Anne;Hernandez;Anne Hernandez;160000,00;Female;2018-02-27;Watford;United Kingdom
11241;211;Lisa;Cai;Lisa Cai;100000,00;Female;2019-09-10;Les Ulis;France
11242;209;Larry;Munoz;Larry Munoz;110000,00;Male;2019-09-19;Versailles;France
11243;237;Robin;Alvarez;Robin Alvarez;150000,00;Female;2018-02-21;Esher-Molesey;United Kingdom
11244;267;Alexis;Coleman;Alexis Coleman;170000,00;Female;2018-02-12;Runcorn;United Kingdom
11245;132;Ricky;Vazquez;Ricky Vazquez;120000,00;Male;2018-09-26;Hamburg;Germany
11246;147;Latasha;Rubio;Latasha Rubio;120000,00;Female;2018-10-03;Hamburg;Germany
11247;242;Claudia;Zhou;Claudia Zhou;130000,00;Female;2018-02-18;Lancaster;United Kingdom
11248;223;Tristan;Alexander;Tristan Alexander;110000,00;Male;2020-07-14;Saint-Denis;France
11249;178;Cindy;Patel;Cindy Patel;130000,00;Female;2018-10-09;Sulzbach Taunus;Germany
11250;276;Shannon;Liu;Shannon Liu;170000,00;Female;2018-03-17;Woolston;United Kingdom
11251;50;Xavier;Long;Xavier Long;30000,00;Male;2020-10-18;Haney;Canada
11252;335;Nicholas;Thompson;Nicholas Thompson;90000,00;Male;2018-08-14;Lemon Grove;United States
11253;69;José;Hernandez;José Hernandez;60000,00;Male;2020-03-01;Victoria;Canada
11254;612;Johnathan;Vance;Johnathan Vance;70000,00;Male;2020-11-23;Burien;United States
11255;612;Colin;Lin;Colin Lin;70000,00;Male;2020-02-23;Burien;United States
11256;626;Katelyn;Hernandez;Katelyn Hernandez;70000,00;Female;2020-04-15;Lynnwood;United States
11257;345;Jacqueline;Powell;Jacqueline Powell;120000,00;Female;2018-08-24;Newport Beach;United States
11258;352;Xavier;Hill;Xavier Hill;120000,00;Male;2020-05-21;Palo Alto;United States
11259;548;Victoria;Stewart;Victoria Stewart;100000,00;Female;2018-09-04;Salem;United States
11260;302;Katelyn;Kelly;Katelyn Kelly;110000,00;Female;2020-02-05;Burlingame;United States
11261;359;Stephanie;Collins;Stephanie Collins;130000,00;Female;2018-09-27;San Diego;United States
11262;60;Jennifer;Simmons;Jennifer Simmons;80000,00;Female;2020-02-27;Port Hammond;Canada
11263;612;Trinity;Richardson;Trinity Richardson;90000,00;Female;2018-08-29;Burien;United States
11264;618;Eduardo;Martin;Eduardo Martin;90000,00;Male;2020-01-02;Issaquah;United States
11265;623;Elizabeth;Jones;Elizabeth Jones;90000,00;Female;2020-01-03;Kirkland;United States
11266;632;Taylor;Howard;Taylor Howard;90000,00;Female;2018-09-10;Port Orchard;United States
11267;302;David;Diaz;David Diaz;120000,00;Male;2018-09-17;Burlingame;United States
11268;312;Katelyn;Carter;Katelyn Carter;130000,00;Female;2020-05-29;Coronado;United States
11269;314;Ryan;Foster;Ryan Foster;130000,00;Male;2020-08-22;Daly City;United States
11270;334;Robert;Lee;Robert Lee;130000,00;Male;2018-09-10;Lakewood;United States
11271;360;Danielle;Reed;Danielle Reed;150000,00;Female;2018-09-27;San Francisco;United States
11272;300;Lauren;Martinez;Lauren Martinez;70000,00;Female;2018-09-19;Beverly Hills;United States
11273;331;Nathan;Lal;Nathan Lal;90000,00;Male;2020-05-14;La Jolla;United States
11274;609;Kyle;Foster;Kyle Foster;50000,00;Male;2018-08-29;Bellingham;United States
11275;310;Jenny;Rai;Jenny Rai;80000,00;Female;2018-08-30;Colma;United States
11276;49;Nancy;Chapman;Nancy Chapman;80000,00;Female;2020-01-29;Cliffside;Canada
11277;62;Charles;Jackson;Charles Jackson;80000,00;Male;2020-02-02;Royal Oak;Canada
11278;614;Jonathan;Phillips;Jonathan Phillips;90000,00;Male;2018-09-16;Edmonds;United States
11279;616;Amanda;Cook;Amanda Cook;90000,00;Female;2020-03-03;Everett;United States
11280;626;Robert;Collins;Robert Collins;90000,00;Male;2020-07-01;Lynnwood;United States
11281;301;Megan;Barnes;Megan Barnes;110000,00;Female;2018-09-13;Burbank;United States
11282;612;Christian;Thomas;Christian Thomas;90000,00;Male;2018-08-31;Burien;United States
11283;299;Arturo;Lal;Arturo Lal;110000,00;Male;2020-05-29;Berkeley;United States
11284;307;Theresa;Serrano;Theresa Serrano;110000,00;Female;2020-02-06;Chula Vista;United States
11285;322;Jeremy;Anderson;Jeremy Anderson;120000,00;Male;2020-07-27;Fremont;United States
11286;374;Hunter;Griffin;Hunter Griffin;170000,00;Male;2018-09-21;Torrance;United States
11287;49;Henry;Garcia;Henry Garcia;70000,00;Male;2020-01-29;Cliffside;Canada
11288;301;Cindy;Sanchez;Cindy Sanchez;110000,00;Female;2020-03-05;Burbank;United States
11289;315;Maria;Carter;Maria Carter;130000,00;Female;2018-09-08;Downey;United States
11290;334;Katelyn;Sanchez;Katelyn Sanchez;130000,00;Female;2018-09-20;Lakewood;United States
11291;335;Jenna;Wright;Jenna Wright;130000,00;Female;2018-09-04;Lemon Grove;United States
11292;361;Seth;Phillips;Seth Phillips;150000,00;Male;2018-09-15;San Gabriel;United States
11293;632;Luke;Long;Luke Long;60000,00;Male;2020-02-24;Port Orchard;United States
